parca_no,tahmin_tarihi,tahmin_ayi,tahmin,birim_maliyet,tedarik_suresi,siparis_maliyeti,elde_tutma_maliyeti_aylik,stoksuz_kalma_cezasi,mevcut_Q,mevcut_r,mevcut_SS,baslangic_stok
Part-149,2025-03-01,3,664.59,470.46,20,100,10.4285,1878.93,109,1319,632,1369
Part-1490,2025-01-01,1,2.29,7584.29,20,50,137.1492,32026.01,6,254,158,83
Part-1490,2025-02-01,2,55.02,7584.29,20,50,137.1492,32026.01,6,254,158,83
Part-1490,2025-03-01,3,2.19,7584.29,20,50,137.1492,32026.01,6,254,158,83
Part-1491,2025-01-01,1,6.22,3103.04,20,200,51.7173,10985.66,33,336,232,187
Part-1491,2025-02-01,2,98.06,3103.04,20,200,51.7173,10985.66,33,336,232,187
Part-1491,2025-03-01,3,2.91,3103.04,20,200,51.7173,10985.66,33,336,232,187
Part-1492,2025-01-01,1,2.09,732.67,20,75,17.2177,1594.96,45,606,376,525
Part-1492,2025-02-01,2,2.69,732.67,20,75,17.2177,1594.96,45,606,376,525
Part-1492,2025-03-01,3,295.48,732.67,20,75,17.2177,1594.96,45,606,376,525
Part-1493,2025-01-01,1,778.31,83.15,20,50,1.6214,259.83,276,2347,1642,2625
Part-1493,2025-02-01,2,744.36,83.15,20,50,1.6214,259.83,276,2347,1642,2625
Part-1493,2025-03-01,3,1736.14,83.15,20,50,1.6214,259.83,276,2347,1642,2625
Part-1494,2025-01-01,1,462.81,392.36,14,200,7.3568,1515.32,124,822,442,721
Part-1494,2025-02-01,2,721.77,392.36,14,200,7.3568,1515.32,124,822,442,721
Part-1494,2025-03-01,3,1024.55,392.36,14,200,7.3568,1515.32,124,822,442,721
Part-1495,2025-01-01,1,515.55,435.93,20,200,9.7358,1694.31,104,2677,1918,488
Part-1495,2025-02-01,2,143.38,435.93,20,200,9.7358,1694.31,104,2677,1918,488
Part-1495,2025-03-01,3,1.88,435.93,20,200,9.7358,1694.31,104,2677,1918,488
Part-1496,2025-01-01,1,4.5,2687.98,14,100,52.1916,13222.53,53,1156,651,1173
Part-1496,2025-02-01,2,250.66,2687.98,14,100,52.1916,13222.53,53,1156,651,1173
Part-1496,2025-03-01,3,1910.62,2687.98,14,100,52.1916,13222.53,53,1156,651,1173
Part-1497,2025-01-01,1,824.11,7392.46,20,50,171.8747,28231.61,19,1287,677,830
Part-1497,2025-02-01,2,3.31,7392.46,20,50,171.8747,28231.61,19,1287,677,830
Part-1497,2025-03-01,3,420.9,7392.46,20,50,171.8747,28231.61,19,1287,677,830
Part-1498,2025-01-01,1,1964.84,215.11,20,100,2.9578,615.07,326,1706,700,1662
Part-1498,2025-02-01,2,1741.79,215.11,20,100,2.9578,615.07,326,1706,700,1662
Part-1498,2025-03-01,3,1124.76,215.11,20,100,2.9578,615.07,326,1706,700,1662
Part-1499,2025-01-01,1,659.93,353.34,20,75,7.8324,752.71,157,1859,636,1356
Part-1499,2025-02-01,2,831.89,353.34,20,75,7.8324,752.71,157,1859,636,1356
Part-1499,2025-03-01,3,1033.94,353.34,20,75,7.8324,752.71,157,1859,636,1356
Part-15,2025-01-01,1,32640.38,343.27,14,200,8.4387,936.32,919,33289,11959,38251
Part-15,2025-02-01,2,27380.89,343.27,14,200,8.4387,936.32,919,33289,11959,38251
Part-15,2025-03-01,3,18781.29,343.27,14,200,8.4387,936.32,919,33289,11959,38251
Part-150,2025-01-01,1,842.8,259.85,20,150,5.8899,1265.7,209,2177,1521,1237
Part-150,2025-02-01,2,715.48,259.85,20,150,5.8899,1265.7,209,2177,1521,1237
Part-150,2025-03-01,3,1165.9,259.85,20,150,5.8899,1265.7,209,2177,1521,1237
Part-1500,2025-01-01,1,184.69,71.81,20,300,1.0472,313.47,389,596,349,364
Part-1500,2025-02-01,2,349.62,71.81,20,300,1.0472,313.47,389,596,349,364
Part-1500,2025-03-01,3,435.79,71.81,20,300,1.0472,313.47,389,596,349,364
Part-1501,2025-01-01,1,0.56,486.64,7,150,7.4618,2271.57,16,11,12,8
Part-1501,2025-02-01,2,0.56,486.64,7,150,7.4618,2271.57,16,11,12,8
Part-1501,2025-03-01,3,51.7,486.64,7,150,7.4618,2271.57,16,11,12,8
Part-1502,2025-01-01,1,10.26,441.23,20,500,6.5081,1694.73,101,148,85,102
Part-1502,2025-02-01,2,50.3,441.23,20,500,6.5081,1694.73,101,148,85,102
Part-1502,2025-03-01,3,28.72,441.23,20,500,6.5081,1694.73,101,148,85,102
Part-1503,2025-01-01,1,0.55,2185.85,20,100,33.8807,7534.91,34,1556,1090,345
Part-1503,2025-02-01,2,15.02,2185.85,20,100,33.8807,7534.91,34,1556,1090,345
Part-1503,2025-03-01,3,0.64,2185.85,20,100,33.8807,7534.91,34,1556,1090,345
Part-1504,2025-01-01,1,237.15,5977.99,20,150,129.5231,27396.89,14,208,126,169
Part-1504,2025-02-01,2,63.44,5977.99,20,150,129.5231,27396.89,14,208,126,169
Part-1504,2025-03-01,3,197.39,5977.99,20,150,129.5231,27396.89,14,208,126,169
Part-1505,2025-01-01,1,0.56,3103.54,14,75,64.1398,8444.94,3,16,15,6
Part-1505,2025-02-01,2,0.55,3103.54,14,75,64.1398,8444.94,3,16,15,6
Part-1505,2025-03-01,3,0.56,3103.54,14,75,64.1398,8444.94,3,16,15,6
Part-1506,2025-01-01,1,0.56,233.32,14,200,3.5776,745.74,9,4,4,1
Part-1506,2025-02-01,2,0.56,233.32,14,200,3.5776,745.74,9,4,4,1
Part-1506,2025-03-01,3,0.57,233.32,14,200,3.5776,745.74,9,4,4,1
Part-1507,2025-01-01,1,510.49,473.71,7,50,7.5399,1668.87,112,692,425,1395
Part-1507,2025-02-01,2,476.89,473.71,7,50,7.5399,1668.87,112,692,425,1395
Part-1507,2025-03-01,3,2054.32,473.71,7,50,7.5399,1668.87,112,692,425,1395
Part-1508,2025-01-01,1,4.82,488.54,20,150,6.7174,1049.44,107,1199,780,363
Part-1508,2025-02-01,2,0.56,488.54,20,150,6.7174,1049.44,107,1199,780,363
Part-1508,2025-03-01,3,425.59,488.54,20,150,6.7174,1049.44,107,1199,780,363
Part-1509,2025-01-01,1,972.35,112.52,20,100,1.9879,457.48,171,1031,765,307
Part-1509,2025-02-01,2,4.4,112.52,20,100,1.9879,457.48,171,1031,765,307
Part-1509,2025-03-01,3,1024.03,112.52,20,100,1.9879,457.48,171,1031,765,307
Part-151,2025-01-01,1,896.34,372.23,7,100,8.7164,767.61,232,1465,1080,1663
Part-151,2025-02-01,2,1337.0,372.23,7,100,8.7164,767.61,232,1465,1080,1663
Part-151,2025-03-01,3,1165.46,372.23,7,100,8.7164,767.61,232,1465,1080,1663
Part-1510,2025-01-01,1,130.23,4010.31,20,150,69.1778,10289.17,16,225,172,98
Part-1510,2025-02-01,2,316.41,4010.31,20,150,69.1778,10289.17,16,225,172,98
Part-1510,2025-03-01,3,180.2,4010.31,20,150,69.1778,10289.17,16,225,172,98
Part-1511,2025-01-01,1,1093.69,3076.35,20,150,44.0943,9227.39,88,1862,850,1011
Part-1511,2025-02-01,2,620.73,3076.35,20,150,44.0943,9227.39,88,1862,850,1011
Part-1511,2025-03-01,3,617.97,3076.35,20,150,44.0943,9227.39,88,1862,850,1011
Part-1512,2025-01-01,1,769.75,4039.47,20,200,92.5712,13101.93,74,1042,360,1455
Part-1512,2025-02-01,2,594.32,4039.47,20,200,92.5712,13101.93,74,1042,360,1455
Part-1512,2025-03-01,3,436.51,4039.47,20,200,92.5712,13101.93,74,1042,360,1455
Part-1513,2025-01-01,1,1467.49,50.87,7,75,1.1785,199.18,411,976,621,1422
Part-1513,2025-02-01,2,635.64,50.87,7,75,1.1785,199.18,411,976,621,1422
Part-1513,2025-03-01,3,89.68,50.87,7,75,1.1785,199.18,411,976,621,1422
Part-1514,2025-01-01,1,24.44,74.63,20,150,1.0324,163.92,527,2451,1908,937
Part-1514,2025-02-01,2,307.77,74.63,20,150,1.0324,163.92,527,2451,1908,937
Part-1514,2025-03-01,3,383.35,74.63,20,150,1.0324,163.92,527,2451,1908,937
Part-1515,2025-01-01,1,381.03,4296.17,20,100,68.0227,12985.54,46,2232,923,1357
Part-1515,2025-02-01,2,691.12,4296.17,20,100,68.0227,12985.54,46,2232,923,1357
Part-1515,2025-03-01,3,819.7,4296.17,20,100,68.0227,12985.54,46,2232,923,1357
Part-1516,2025-01-01,1,1366.58,5758.6,20,100,124.7697,16257.02,39,2551,760,1369
Part-1516,2025-02-01,2,701.0,5758.6,20,100,124.7697,16257.02,39,2551,760,1369
Part-1516,2025-03-01,3,783.4,5758.6,20,100,124.7697,16257.02,39,2551,760,1369
Part-1517,2025-01-01,1,744.79,438.09,20,100,10.2221,878.18,99,1853,781,1676
Part-1517,2025-02-01,2,366.09,438.09,20,100,10.2221,878.18,99,1853,781,1676
Part-1517,2025-03-01,3,894.57,438.09,20,100,10.2221,878.18,99,1853,781,1676
Part-1518,2025-01-01,1,929.5,485.72,20,500,6.5167,1979.29,232,677,418,365
Part-1518,2025-02-01,2,139.57,485.72,20,500,6.5167,1979.29,232,677,418,365
Part-1518,2025-03-01,3,251.48,485.72,20,500,6.5167,1979.29,232,677,418,365
Part-1519,2025-01-01,1,2.58,192.18,20,300,4.5643,520.39,333,2258,1405,995
Part-1519,2025-02-01,2,704.69,192.18,20,300,4.5643,520.39,333,2258,1405,995
Part-1519,2025-03-01,3,1.45,192.18,20,300,4.5643,520.39,333,2258,1405,995
Part-152,2025-01-01,1,1176.06,2052.85,20,100,41.057,9835.76,72,2700,879,2677
Part-152,2025-02-01,2,931.12,2052.85,20,100,41.057,9835.76,72,2700,879,2677
Part-152,2025-03-01,3,729.53,2052.85,20,100,41.057,9835.76,72,2700,879,2677
Part-1520,2025-01-01,1,501.06,345.49,20,100,4.5777,863.49,168,1438,857,1645
Part-1520,2025-02-01,2,1010.15,345.49,20,100,4.5777,863.49,168,1438,857,1645
Part-1520,2025-03-01,3,813.68,345.49,20,100,4.5777,863.49,168,1438,857,1645
Part-1521,2025-01-01,1,7.37,96.09,20,300,1.9618,422.21,524,1612,1443,684
Part-1521,2025-02-01,2,3.41,96.09,20,300,1.9618,422.21,524,1612,1443,684
Part-1521,2025-03-01,3,2.11,96.09,20,300,1.9618,422.21,524,1612,1443,684
Part-1522,2025-01-01,1,581.48,278.08,7,300,3.5455,588.86,78,143,141,73
Part-1522,2025-02-01,2,177.87,278.08,7,300,3.5455,588.86,78,143,141,73
Part-1522,2025-03-01,3,2.85,278.08,7,300,3.5455,588.86,78,143,141,73
Part-1523,2025-01-01,1,164.43,108.89,20,75,2.6224,511.86,130,392,233,311
Part-1523,2025-02-01,2,4.64,108.89,20,75,2.6224,511.86,130,392,233,311
Part-1523,2025-03-01,3,196.23,108.89,20,75,2.6224,511.86,130,392,233,311
Part-1524,2025-01-01,1,137.41,84.41,20,150,1.4279,342.76,177,367,196,331
Part-1524,2025-02-01,2,162.04,84.41,20,150,1.4279,342.76,177,367,196,331
Part-1524,2025-03-01,3,70.13,84.41,20,150,1.4279,342.76,177,367,196,331
Part-1525,2025-01-01,1,0.51,3399.31,20,300,69.9691,8550.08,66,3366,2382,1496
Part-1525,2025-02-01,2,2106.2,3399.31,20,300,69.9691,8550.08,66,3366,2382,1496
Part-1525,2025-03-01,3,16.56,3399.31,20,300,69.9691,8550.08,66,3366,2382,1496
Part-1526,2025-01-01,1,1129.5,291.97,20,150,4.3309,890.6,258,2141,886,1394
Part-1526,2025-02-01,2,1183.27,291.97,20,150,4.3309,890.6,258,2141,886,1394
Part-1526,2025-03-01,3,831.69,291.97,20,150,4.3309,890.6,258,2141,886,1394
Part-1527,2025-01-01,1,452.45,475.18,20,100,7.8405,2304.6,128,1288,472,1469
Part-1527,2025-02-01,2,609.1,475.18,20,100,7.8405,2304.6,128,1288,472,1469
Part-1527,2025-03-01,3,354.84,475.18,20,100,7.8405,2304.6,128,1288,472,1469
Part-1528,2025-01-01,1,1131.22,65.5,20,150,1.4301,252.6,518,3174,1612,1768
Part-1528,2025-02-01,2,1636.58,65.5,20,150,1.4301,252.6,518,3174,1612,1768
Part-1528,2025-03-01,3,975.26,65.5,20,150,1.4301,252.6,518,3174,1612,1768
Part-1529,2025-01-01,1,1079.96,253.65,20,75,6.2567,970.5,165,2531,1806,2640
Part-1529,2025-02-01,2,1086.35,253.65,20,75,6.2567,970.5,165,2531,1806,2640
Part-1529,2025-03-01,3,1245.36,253.65,20,75,6.2567,970.5,165,2531,1806,2640
Part-153,2025-01-01,1,2384.51,5464.93,20,200,87.4389,13360.44,47,1748,1174,1121
Part-153,2025-02-01,2,847.17,5464.93,20,200,87.4389,13360.44,47,1748,1174,1121
Part-153,2025-03-01,3,344.3,5464.93,20,200,87.4389,13360.44,47,1748,1174,1121
Part-1530,2025-01-01,1,2120.15,345.1,20,75,8.5987,1366.32,307,4219,1535,7502
Part-1530,2025-02-01,2,2385.75,345.1,20,75,8.5987,1366.32,307,4219,1535,7502
Part-1530,2025-03-01,3,4100.98,345.1,20,75,8.5987,1366.32,307,4219,1535,7502
Part-1531,2025-01-01,1,0.55,250.45,20,200,5.656,848.58,5,2,1,0
Part-1531,2025-02-01,2,0.56,250.45,20,200,5.656,848.58,5,2,1,0
Part-1531,2025-03-01,3,0.57,250.45,20,200,5.656,848.58,5,2,1,0
Part-1532,2025-01-01,1,605.67,456.33,20,50,10.5336,1141.7,72,1324,717,833
Part-1532,2025-02-01,2,206.23,456.33,20,50,10.5336,1141.7,72,1324,717,833
Part-1532,2025-03-01,3,169.07,456.33,20,50,10.5336,1141.7,72,1324,717,833
Part-1533,2025-01-01,1,174.54,87.32,20,200,2.1466,214.17,206,684,396,213
Part-1533,2025-02-01,2,4.72,87.32,20,200,2.1466,214.17,206,684,396,213
Part-1533,2025-03-01,3,7.58,87.32,20,200,2.1466,214.17,206,684,396,213
Part-1534,2025-01-01,1,79.9,16.96,20,100,0.2205,68.89,317,144,84,108
Part-1534,2025-02-01,2,76.16,16.96,20,100,0.2205,68.89,317,144,84,108
Part-1534,2025-03-01,3,65.41,16.96,20,100,0.2205,68.89,317,144,84,108
Part-1535,2025-01-01,1,3.75,194.64,20,100,2.8547,905.43,186,1185,879,1108
Part-1535,2025-02-01,2,5.06,194.64,20,100,2.8547,905.43,186,1185,879,1108
Part-1535,2025-03-01,3,846.66,194.64,20,100,2.8547,905.43,186,1185,879,1108
Part-1536,2025-01-01,1,62.07,1918.57,20,150,25.2612,5565.07,112,3669,2595,1543
Part-1536,2025-02-01,2,3.75,1918.57,20,150,25.2612,5565.07,112,3669,2595,1543
Part-1536,2025-03-01,3,0.77,1918.57,20,150,25.2612,5565.07,112,3669,2595,1543
Part-1537,2025-01-01,1,0.71,130.98,7,200,2.4559,459.77,109,357,357,120
Part-1537,2025-02-01,2,0.77,130.98,7,200,2.4559,459.77,109,357,357,120
Part-1537,2025-03-01,3,2.11,130.98,7,200,2.4559,459.77,109,357,357,120
Part-1538,2025-01-01,1,15.14,88.37,20,300,2.1651,439.79,41,25,22,11
Part-1538,2025-02-01,2,0.7,88.37,20,300,2.1651,439.79,41,25,22,11
Part-1538,2025-03-01,3,0.6,88.37,20,300,2.1651,439.79,41,25,22,11
Part-1539,2025-01-01,1,3.62,2527.69,20,200,49.9219,7005.45,49,616,315,481
Part-1539,2025-02-01,2,153.28,2527.69,20,200,49.9219,7005.45,49,616,315,481
Part-1539,2025-03-01,3,274.41,2527.69,20,200,49.9219,7005.45,49,616,315,481
Part-154,2025-01-01,1,2518.98,6368.87,14,50,91.8179,16781.52,39,1743,843,2259
Part-154,2025-02-01,2,1186.33,6368.87,14,50,91.8179,16781.52,39,1743,843,2259
Part-154,2025-03-01,3,1984.99,6368.87,14,50,91.8179,16781.52,39,1743,843,2259
Part-1540,2025-01-01,1,2077.13,98.34,20,150,1.9094,311.8,392,2231,1337,2202
Part-1540,2025-02-01,2,18.64,98.34,20,150,1.9094,311.8,392,2231,1337,2202
Part-1540,2025-03-01,3,969.93,98.34,20,150,1.9094,311.8,392,2231,1337,2202
Part-1541,2025-01-01,1,205.48,224.13,20,100,5.1176,692.69,154,1408,780,790
Part-1541,2025-02-01,2,109.45,224.13,20,100,5.1176,692.69,154,1408,780,790
Part-1541,2025-03-01,3,3.77,224.13,20,100,5.1176,692.69,154,1408,780,790
Part-1542,2025-01-01,1,130.23,477.47,20,150,11.4991,1001.62,23,76,67,19
Part-1542,2025-02-01,2,36.0,477.47,20,150,11.4991,1001.62,23,76,67,19
Part-1542,2025-03-01,3,2.13,477.47,20,150,11.4991,1001.62,23,76,67,19
Part-1543,2025-01-01,1,1.5,7350.0,14,50,156.1875,25934.85,11,685,583,589
Part-1543,2025-02-01,2,10.04,7350.0,14,50,156.1875,25934.85,11,685,583,589
Part-1543,2025-03-01,3,292.19,7350.0,14,50,156.1875,25934.85,11,685,583,589
Part-1544,2025-01-01,1,67.01,251.37,20,75,5.9491,660.11,16,45,38,17
Part-1544,2025-02-01,2,31.7,251.37,20,75,5.9491,660.11,16,45,38,17
Part-1544,2025-03-01,3,1.45,251.37,20,75,5.9491,660.11,16,45,38,17
Part-1545,2025-01-01,1,1.94,183.32,14,100,2.6887,437.36,73,404,287,117
Part-1545,2025-02-01,2,66.76,183.32,14,100,2.6887,437.36,73,404,287,117
Part-1545,2025-03-01,3,35.35,183.32,14,100,2.6887,437.36,73,404,287,117
Part-1546,2025-01-01,1,0.52,262.59,20,100,4.9454,1084.82,60,335,291,57
Part-1546,2025-02-01,2,667.8,262.59,20,100,4.9454,1084.82,60,335,291,57
Part-1546,2025-03-01,3,4.38,262.59,20,100,4.9454,1084.82,60,335,291,57
Part-1547,2025-01-01,1,1670.0,368.48,20,50,6.2949,1583.46,178,3235,1005,2039
Part-1547,2025-02-01,2,1650.08,368.48,20,50,6.2949,1583.46,178,3235,1005,2039
Part-1547,2025-03-01,3,952.23,368.48,20,50,6.2949,1583.46,178,3235,1005,2039
Part-1548,2025-01-01,1,762.77,412.15,20,50,6.8692,1923.37,150,1133,283,1224
Part-1548,2025-02-01,2,890.78,412.15,20,50,6.8692,1923.37,150,1133,283,1224
Part-1548,2025-03-01,3,1247.07,412.15,20,50,6.8692,1923.37,150,1133,283,1224
Part-1549,2025-01-01,1,225.45,3072.84,14,100,46.6047,14757.0,52,775,307,873
Part-1549,2025-02-01,2,545.4,3072.84,14,100,46.6047,14757.0,52,775,307,873
Part-1549,2025-03-01,3,493.3,3072.84,14,100,46.6047,14757.0,52,775,307,873
Part-155,2025-01-01,1,957.06,303.07,14,100,5.7078,1349.33,267,2002,1439,1609
Part-155,2025-02-01,2,7.25,303.07,14,100,5.7078,1349.33,267,2002,1439,1609
Part-155,2025-03-01,3,825.3,303.07,14,100,5.7078,1349.33,267,2002,1439,1609
Part-1550,2025-01-01,1,2022.93,396.21,20,50,9.377,1825.42,132,3536,1295,5277
Part-1550,2025-02-01,2,1920.37,396.21,20,50,9.377,1825.42,132,3536,1295,5277
Part-1550,2025-03-01,3,1769.39,396.21,20,50,9.377,1825.42,132,3536,1295,5277
Part-1551,2025-01-01,1,53.06,48.77,20,100,0.886,115.46,214,475,270,251
Part-1551,2025-02-01,2,66.77,48.77,20,100,0.886,115.46,214,475,270,251
Part-1551,2025-03-01,3,105.53,48.77,20,100,0.886,115.46,214,475,270,251
Part-1552,2025-01-01,1,4.61,6875.5,20,100,131.7804,18363.68,14,239,147,156
Part-1552,2025-02-01,2,2.99,6875.5,20,100,131.7804,18363.68,14,239,147,156
Part-1552,2025-03-01,3,109.13,6875.5,20,100,131.7804,18363.68,14,239,147,156
Part-1553,2025-01-01,1,5.41,368.53,20,75,5.8658,872.47,108,1458,826,564
Part-1553,2025-02-01,2,1.19,368.53,20,75,5.8658,872.47,108,1458,826,564
Part-1553,2025-03-01,3,1.97,368.53,20,75,5.8658,872.47,108,1458,826,564
Part-1554,2025-01-01,1,276.15,134.54,20,50,3.2962,411.77,151,830,354,893
Part-1554,2025-02-01,2,306.36,134.54,20,50,3.2962,411.77,151,830,354,893
Part-1554,2025-03-01,3,541.58,134.54,20,50,3.2962,411.77,151,830,354,893
Part-1555,2025-01-01,1,634.31,439.45,20,100,8.8622,1042.47,163,1250,768,1344
Part-1555,2025-02-01,2,680.85,439.45,20,100,8.8622,1042.47,163,1250,768,1344
Part-1555,2025-03-01,3,453.84,439.45,20,100,8.8622,1042.47,163,1250,768,1344
Part-1556,2025-01-01,1,1401.27,270.25,20,100,3.3781,1070.14,200,1882,1488,1036
Part-1556,2025-02-01,2,4.29,270.25,20,100,3.3781,1070.14,200,1882,1488,1036
Part-1556,2025-03-01,3,2004.26,270.25,20,100,3.3781,1070.14,200,1882,1488,1036
Part-1557,2025-01-01,1,2.53,706.56,20,300,11.1872,2932.33,173,2134,1112,1013
Part-1557,2025-02-01,2,561.16,706.56,20,300,11.1872,2932.33,173,2134,1112,1013
Part-1557,2025-03-01,3,644.25,706.56,20,300,11.1872,2932.33,173,2134,1112,1013
Part-1558,2025-01-01,1,5509.69,387.55,7,75,9.6888,960.65,165,2683,2089,2458
Part-1558,2025-02-01,2,63.01,387.55,7,75,9.6888,960.65,165,2683,2089,2458
Part-1558,2025-03-01,3,1.36,387.55,7,75,9.6888,960.65,165,2683,2089,2458
Part-1559,2025-01-01,1,227.8,371.84,20,150,9.1721,1437.06,127,1457,774,555
Part-1559,2025-02-01,2,537.41,371.84,20,150,9.1721,1437.06,127,1457,774,555
Part-1559,2025-03-01,3,1399.51,371.84,20,150,9.1721,1437.06,127,1457,774,555
Part-156,2025-01-01,1,908.45,179.14,20,100,2.4781,573.48,208,1134,398,961
Part-156,2025-02-01,2,503.61,179.14,20,100,2.4781,573.48,208,1134,398,961
Part-156,2025-03-01,3,303.3,179.14,20,100,2.4781,573.48,208,1134,398,961
Part-1560,2025-01-01,1,496.55,353.62,20,100,6.8367,731.63,149,753,343,699
Part-1560,2025-02-01,2,357.78,353.62,20,100,6.8367,731.63,149,753,343,699
Part-1560,2025-03-01,3,276.91,353.62,20,100,6.8367,731.63,149,753,343,699
Part-1561,2025-01-01,1,421.5,346.5,20,75,6.7856,1144.53,166,1188,478,1235
Part-1561,2025-02-01,2,285.18,346.5,20,75,6.7856,1144.53,166,1188,478,1235
Part-1561,2025-03-01,3,831.58,346.5,20,75,6.7856,1144.53,166,1188,478,1235
Part-1562,2025-01-01,1,2185.59,260.12,20,100,6.1778,742.91,262,3737,2334,4738
Part-1562,2025-02-01,2,4675.32,260.12,20,100,6.1778,742.91,262,3737,2334,4738
Part-1562,2025-03-01,3,2285.44,260.12,20,100,6.1778,742.91,262,3737,2334,4738
Part-1563,2025-01-01,1,585.95,463.61,7,100,9.8903,2315.96,92,470,199,803
Part-1563,2025-02-01,2,701.26,463.61,7,100,9.8903,2315.96,92,470,199,803
Part-1563,2025-03-01,3,472.67,463.61,7,100,9.8903,2315.96,92,470,199,803
Part-1564,2025-01-01,1,491.45,445.87,20,100,10.7752,2126.07,90,716,357,560
Part-1564,2025-02-01,2,413.48,445.87,20,100,10.7752,2126.07,90,716,357,560
Part-1564,2025-03-01,3,1.49,445.87,20,100,10.7752,2126.07,90,716,357,560
Part-1565,2025-01-01,1,481.77,168.06,7,200,3.1091,410.52,192,594,369,505
Part-1565,2025-02-01,2,1.46,168.06,7,200,3.1091,410.52,192,594,369,505
Part-1565,2025-03-01,3,675.55,168.06,7,200,3.1091,410.52,192,594,369,505
Part-1566,2025-01-01,1,135.19,403.32,14,200,9.9486,1916.62,61,160,131,115
Part-1566,2025-02-01,2,36.29,403.32,14,200,9.9486,1916.62,61,160,131,115
Part-1566,2025-03-01,3,2.83,403.32,14,200,9.9486,1916.62,61,160,131,115
Part-1567,2025-01-01,1,0.62,446.1,20,75,8.5874,1452.67,77,956,554,561
Part-1567,2025-02-01,2,239.55,446.1,20,75,8.5874,1452.67,77,956,554,561
Part-1567,2025-03-01,3,198.44,446.1,20,75,8.5874,1452.67,77,956,554,561
Part-1568,2025-01-01,1,615.82,311.04,20,75,6.4022,1160.16,158,1475,526,1600
Part-1568,2025-02-01,2,890.08,311.04,20,75,6.4022,1160.16,158,1475,526,1600
Part-1568,2025-03-01,3,698.25,311.04,20,75,6.4022,1160.16,158,1475,526,1600
Part-1569,2025-01-01,1,516.63,280.01,14,100,3.7801,1008.4,114,458,233,536
Part-1569,2025-02-01,2,139.56,280.01,14,100,3.7801,1008.4,114,458,233,536
Part-1569,2025-03-01,3,261.72,280.01,14,100,3.7801,1008.4,114,458,233,536
Part-157,2025-01-01,1,3096.65,4434.15,7,50,106.0501,14525.97,55,1964,1257,3200
Part-157,2025-02-01,2,2270.67,4434.15,7,50,106.0501,14525.97,55,1964,1257,3200
Part-157,2025-03-01,3,2431.55,4434.15,7,50,106.0501,14525.97,55,1964,1257,3200
Part-1570,2025-01-01,1,1.17,337.58,20,100,6.8079,1410.57,82,692,405,304
Part-1570,2025-02-01,2,33.02,337.58,20,100,6.8079,1410.57,82,692,405,304
Part-1570,2025-03-01,3,3.34,337.58,20,100,6.8079,1410.57,82,692,405,304
Part-1571,2025-01-01,1,1349.96,85.72,20,200,1.893,257.58,723,4725,1487,4049
Part-1571,2025-02-01,2,4429.28,85.72,20,200,1.893,257.58,723,4725,1487,4049
Part-1571,2025-03-01,3,3521.11,85.72,20,200,1.893,257.58,723,4725,1487,4049
Part-1572,2025-01-01,1,260.98,48.24,20,500,0.8683,106.56,904,1632,774,875
Part-1572,2025-02-01,2,868.18,48.24,20,500,0.8683,106.56,904,1632,774,875
Part-1572,2025-03-01,3,10.23,48.24,20,500,0.8683,106.56,904,1632,774,875
Part-1573,2025-01-01,1,1388.22,7813.54,20,75,146.5039,25416.51,44,3878,952,2970
Part-1573,2025-02-01,2,2624.22,7813.54,20,75,146.5039,25416.51,44,3878,952,2970
Part-1573,2025-03-01,3,2825.71,7813.54,20,75,146.5039,25416.51,44,3878,952,2970
Part-1574,2025-01-01,1,112.59,288.8,20,200,5.0299,1049.36,121,412,313,153
Part-1574,2025-02-01,2,144.85,288.8,20,200,5.0299,1049.36,121,412,313,153
Part-1574,2025-03-01,3,2.06,288.8,20,200,5.0299,1049.36,121,412,313,153
Part-1575,2025-01-01,1,155.14,65.64,20,150,1.6136,240.55,152,145,78,84
Part-1575,2025-02-01,2,22.93,65.64,20,150,1.6136,240.55,152,145,78,84
Part-1575,2025-03-01,3,85.69,65.64,20,150,1.6136,240.55,152,145,78,84
Part-1576,2025-01-01,1,0.55,211.08,14,150,3.8874,924.06,97,1046,739,306
Part-1576,2025-02-01,2,2.76,211.08,14,150,3.8874,924.06,97,1046,739,306
Part-1576,2025-03-01,3,0.57,211.08,14,150,3.8874,924.06,97,1046,739,306
Part-1577,2025-01-01,1,889.7,152.63,20,100,2.1495,325.51,225,1983,1661,1043
Part-1577,2025-02-01,2,1139.87,152.63,20,100,2.1495,325.51,225,1983,1661,1043
Part-1577,2025-03-01,3,0.59,152.63,20,100,2.1495,325.51,225,1983,1661,1043
Part-1578,2025-01-01,1,2003.05,438.36,14,50,5.6256,2176.14,153,3904,1966,2748
Part-1578,2025-02-01,2,1124.42,438.36,14,50,5.6256,2176.14,153,3904,1966,2748
Part-1578,2025-03-01,3,1530.05,438.36,14,50,5.6256,2176.14,153,3904,1966,2748
Part-1579,2025-01-01,1,504.8,2877.0,20,150,63.7735,14303.57,60,1387,658,1062
Part-1579,2025-02-01,2,272.69,2877.0,20,150,63.7735,14303.57,60,1387,658,1062
Part-1579,2025-03-01,3,570.85,2877.0,20,150,63.7735,14303.57,60,1387,658,1062
Part-158,2025-01-01,1,288.45,396.38,7,100,7.1348,1103.4,217,790,475,1350
Part-158,2025-02-01,2,1094.37,396.38,7,100,7.1348,1103.4,217,790,475,1350
