parca_no,aylik_ort,aylik_std,tedarik_suresi,birim_maliyet,siparis_maliyeti,elde_tutma_maliyeti_aylik,stoksuz_kalma_cezasi,mevcut_SS,mevcut_r,mevcut_Q,baslangic_stok
Part-326,320.9,728.5,7,312.6,300,4.4285,1230.4,694,999,242,528
Part-327,486.1,207.6,20,340.16,75,5.8111,1553.43,334,953,118,848
Part-328,1463.7,1431.6,14,286.15,500,5.5084,1036.95,1929,3138,560,1804
Part-329,408.8,547.6,20,110.52,100,2.5788,285.31,882,1342,175,574
Part-330,597.2,867.9,20,6272.13,300,120.7385,24334.63,1398,2122,48,758
Part-331,411.7,636.0,20,355.7,100,7.4104,1250.65,1024,1261,99,493
Part-332,397.0,1335.8,7,7954.16,100,167.0374,25648.8,1273,1374,26,708
Part-333,212.5,716.8,20,5534.37,100,130.0577,17241.86,1154,1110,14,406
Part-334,236.7,798.1,14,262.23,300,5.8346,1035.87,1075,1250,127,324
Part-335,458.5,113.3,14,6003.39,100,148.5839,23132.77,153,478,19,803
Part-336,330.2,331.9,20,19.58,150,0.2496,48.06,534,766,487,626
Part-337,442.0,453.9,20,431.27,100,6.505,1918.58,731,1421,143,816
Part-338,985.2,283.3,20,4981.13,300,120.3773,19467.62,456,1686,80,1165
Part-339,1775.4,515.1,20,391.86,75,8.7842,1413.61,829,2835,176,3473
Part-340,741.8,223.6,20,3091.42,100,48.9475,13128.5,360,1110,44,1021
Part-341,403.5,123.5,7,434.94,75,10.7285,1070.39,118,300,77,540
Part-342,547.0,275.9,14,5854.8,150,136.612,27863.86,372,632,35,581
Part-343,261.4,593.4,20,123.91,100,1.6521,348.41,956,1391,150,388
Part-344,500.0,388.5,20,177.0,50,4.012,493.52,626,943,111,555
Part-345,445.6,246.2,20,104.33,200,2.33,463.72,396,950,268,556
Part-346,317.0,257.8,20,4439.8,100,67.7069,13328.16,415,663,34,417
Part-347,245.8,636.1,20,168.35,100,3.5073,756.25,1024,1503,130,445
Part-348,259.9,59.4,20,269.58,100,6.6496,804.43,96,420,68,487
Part-349,212.9,717.5,14,408.32,100,8.5407,1491.21,967,961,68,277
Part-350,435.8,212.8,20,491.23,50,11.1345,1322.65,343,764,69,810
Part-351,200.2,265.2,20,129.47,200,1.7802,543.07,427,767,218,372
Part-352,713.8,555.8,20,57.72,100,1.2458,144.35,895,1603,414,1260
Part-353,1420.8,726.9,20,200.86,200,3.0296,943.7,1170,3000,482,1629
Part-354,938.6,650.0,20,1114.42,50,14.9518,3471.36,1047,2067,66,1587
Part-355,374.6,289.6,7,417.95,150,8.1152,1427.18,276,389,93,729
Part-356,200.4,96.9,20,253.06,300,5.5462,524.36,156,322,162,337
Part-357,204.0,196.5,14,311.88,100,6.0297,1536.75,265,357,63,272
Part-358,343.6,220.3,14,1314.25,75,31.761,5834.65,297,601,43,516
Part-359,301.1,215.3,20,376.06,50,7.9599,1256.43,347,617,79,496
Part-360,385.9,202.5,20,486.92,300,6.8169,2318.12,326,715,196,583
Part-361,290.5,235.6,20,243.78,75,5.8913,1168.48,379,670,83,325
Part-362,525.1,315.2,14,4817.69,500,69.455,17339.62,425,821,96,689
Part-363,376.5,753.3,20,795.37,75,17.4981,2148.73,1213,1870,57,679
Part-364,558.0,408.2,20,7793.53,100,111.7073,26975.99,657,1476,34,1039
Part-365,465.0,372.5,20,480.21,100,12.0052,1428.33,600,1026,112,529
Part-366,1662.7,563.5,20,2455.83,50,40.9305,8212.19,907,2920,62,3246
Part-367,427.6,150.2,20,98.4,150,1.8368,465.84,242,742,338,568
Part-368,347.5,336.1,20,185.12,150,3.3939,526.76,541,923,218,578
Part-369,191.9,79.4,20,256.34,200,3.5247,1157.86,128,383,127,336
Part-370,352.7,151.9,20,352.81,150,6.5858,1695.57,245,516,100,639
Part-371,311.3,550.0,20,421.8,200,6.0458,1862.31,886,1004,116,606
Part-372,343.2,290.1,20,2110.17,200,47.4788,7558.12,467,940,41,451
Part-373,1201.7,480.6,7,2116.77,75,51.8609,7814.97,458,856,47,2233
Part-374,293.1,220.4,20,240.97,100,5.4419,1074.46,355,749,117,332
Part-375,357.2,131.5,20,300.82,75,5.3897,641.8,212,663,79,609
Part-376,722.3,592.4,20,2754.45,75,34.4306,11590.15,954,1360,52,1258
Part-377,208.6,705.1,14,228.09,200,2.9462,818.07,950,1304,204,350
Part-378,175.0,591.2,20,4377.48,150,81.713,13970.34,952,1121,19,219
Part-379,627.5,249.1,20,6479.3,150,136.0653,27866.06,401,1029,44,1175
Part-380,437.7,1198.1,20,98.88,200,2.2495,276.74,1929,2538,253,512
Part-381,387.1,146.7,20,27.08,100,0.5416,126.91,236,736,308,408
Part-382,294.9,447.7,20,190.04,100,4.7035,772.6,721,810,127,506
Part-383,460.6,837.6,20,2955.46,150,55.1686,11320.79,1349,1813,55,680
Part-384,294.8,691.2,20,6191.4,50,123.828,22099.34,1113,1547,18,545
Part-385,318.0,222.8,20,40.83,200,0.6295,107.72,359,745,519,440
Part-386,381.9,124.5,7,221.59,100,3.7116,853.31,119,273,170,446
Part-387,340.4,396.4,20,490.17,150,10.2936,2046.33,638,828,91,625
Part-388,487.0,282.0,20,6222.3,500,124.446,12662.81,454,858,53,754
Part-389,830.9,1011.5,20,186.59,100,3.1876,578.29,1629,2327,265,988
Part-390,384.2,247.6,14,338.27,75,4.7076,1521.33,334,686,133,661
Part-391,344.9,465.3,14,6866.43,75,115.0127,26755.95,627,793,27,521
Part-392,1352.0,467.0,20,3925.53,50,51.359,15096.85,752,1825,50,2169
Part-393,350.8,80.6,20,132.8,200,2.6228,356.68,130,571,221,512
Part-394,252.4,226.4,14,115.27,100,1.902,449.12,305,380,192,462
Part-395,403.9,456.3,7,946.69,75,16.3304,4126.1,435,711,57,739
Part-396,560.0,709.3,14,105.62,200,2.0772,338.54,956,1468,414,957
Part-397,728.9,326.9,20,191.39,100,3.78,487.33,526,1432,240,806
Part-398,179.7,318.9,20,88.95,150,1.7642,198.52,514,639,173,330
Part-399,533.2,1000.8,14,7217.31,100,134.7231,25383.91,1348,1374,33,891
Part-400,310.9,246.3,20,4592.17,100,85.3378,18605.52,397,785,31,528
Part-401,209.1,703.8,7,5203.67,100,118.3835,12946.3,670,870,15,285
Part-402,301.7,364.6,7,322.33,100,5.9094,1052.19,347,508,126,567
Part-403,298.1,167.3,20,372.58,300,7.1411,1380.76,269,478,162,514
Part-404,453.5,269.5,20,257.78,50,6.4015,636.09,434,986,101,505
Part-405,166.3,404.9,20,307.19,50,4.5311,863.1,652,928,56,234
Part-406,325.9,106.0,14,407.57,100,8.7967,1559.05,143,395,107,615
Part-407,318.8,274.4,20,1135.89,75,20.9193,4742.42,442,853,46,334
Part-408,1051.7,850.7,20,230.97,200,5.2931,902.63,1370,2799,213,2063
Part-409,158.8,397.3,20,468.54,100,8.2385,1940.18,640,851,77,267
Part-410,340.5,235.9,20,247.73,100,4.0256,927.63,380,591,104,555
Part-411,414.7,178.9,20,392.09,100,5.914,1767.35,288,696,109,527
Part-412,364.1,168.7,14,288.75,75,6.7616,1293.66,227,392,115,455
Part-413,152.0,408.0,20,442.6,100,9.5159,1942.46,657,789,73,295
Part-414,181.6,399.2,20,227.11,150,3.066,846.3,643,802,142,236
Part-415,373.5,450.3,20,349.43,300,7.4836,1741.0,725,897,190,663
Part-416,498.3,277.8,14,235.83,100,3.0461,499.33,374,676,180,694
Part-417,340.3,491.4,20,429.23,100,6.3311,1110.4,791,948,95,388
Part-418,323.6,218.1,20,497.21,200,9.9028,2200.97,351,767,106,327
Part-419,267.8,519.7,14,125.44,50,2.2997,561.83,700,1078,121,414
Part-420,463.0,535.0,20,239.8,100,5.5154,1068.61,861,1084,151,915
Part-421,514.1,178.4,20,1151.98,100,23.1356,5320.01,287,956,79,704
Part-422,542.8,472.6,20,74.79,150,1.8386,244.4,761,1323,353,737
Part-423,261.0,231.4,7,464.93,75,10.7709,2229.57,220,287,48,351
Part-424,203.8,145.4,20,274.09,100,4.591,720.17,234,357,96,310
Part-425,694.8,230.2,7,200.58,150,4.5966,964.96,219,462,166,1001
Part-426,167.0,401.1,14,337.38,150,7.8722,1238.2,540,755,84,314
Part-427,355.7,223.3,7,282.28,150,6.9394,703.34,213,370,123,536
Part-428,760.4,967.4,14,147.92,150,1.8737,622.48,1303,1489,432,1146
Part-429,287.3,458.2,20,6323.33,100,148.0713,18259.49,738,842,19,327
Part-430,832.2,306.5,20,4269.79,50,56.9305,11363.5,494,1262,31,1650
Part-431,405.8,142.5,20,4108.72,50,78.4081,10338.47,229,575,19,507
Part-432,199.1,432.3,20,73.89,300,1.3054,154.3,696,801,354,214
Part-433,1658.3,591.6,20,162.6,150,3.9024,698.2,953,2346,389,2758
Part-434,151.2,130.4,20,431.36,200,7.5847,1492.3,210,411,72,241
Part-435,197.7,279.2,7,23.23,300,0.4627,114.67,266,404,403,280
Part-436,247.1,368.3,20,417.47,200,8.8364,1385.09,593,813,120,351
Part-437,288.0,261.2,20,312.38,150,3.9828,1415.1,421,839,116,514
Part-438,418.0,304.3,20,24.98,150,0.4975,122.51,490,839,603,500
Part-439,332.6,139.6,14,303.01,100,5.7572,626.44,188,416,122,605
Part-440,407.3,417.7,7,215.88,500,4.2996,499.97,398,482,245,672
Part-441,1166.7,349.4,20,1392.88,150,18.6878,4239.36,563,1822,109,1656
Part-442,128.2,291.6,14,7906.58,75,104.1033,36452.09,393,593,18,187
Part-443,605.6,599.9,20,146.81,75,2.1654,662.68,966,1653,196,761
Part-444,282.4,291.1,7,393.16,200,9.1737,1218.88,277,357,106,495
Part-445,176.5,187.0,20,4829.87,100,81.7053,12556.27,301,512,25,267
Part-446,139.8,317.5,20,7166.65,50,128.4025,31583.16,511,551,13,185
Part-447,1100.9,1652.1,20,100.36,100,1.7479,380.44,2660,4450,459,1757
Part-448,535.1,411.6,7,340.85,200,7.2999,714.01,392,585,199,1068
Part-449,164.9,361.0,14,5024.32,100,79.133,22170.55,486,597,19,237
Part-450,432.5,172.5,14,235.1,200,3.1347,1145.14,232,554,187,831
Part-451,460.9,502.8,20,4816.25,200,83.0803,10240.6,810,1350,55,620
Part-452,988.7,524.4,14,3544.58,300,76.5039,10129.07,706,1137,93,1043
Part-453,319.3,134.2,20,4546.1,150,108.7276,20268.31,216,576,29,385
Part-454,299.5,433.8,14,84.73,150,1.1156,318.07,584,713,355,425
Part-455,123.5,409.8,20,295.51,100,6.6982,1468.11,660,871,49,151
Part-456,171.8,391.1,20,457.85,50,6.1047,2173.19,630,928,54,172
Part-457,335.4,628.5,14,25.81,150,0.4302,65.42,847,1243,366,642
Part-458,747.3,310.1,7,398.29,50,5.0782,1601.96,295,572,122,1378
Part-459,1761.5,1478.6,20,3408.92,100,81.53,13498.85,2381,4197,52,3069
Part-460,164.0,372.5,20,336.48,75,7.1782,784.86,600,653,48,192
Part-461,124.7,56.3,14,360.12,75,6.152,816.95,76,183,45,140
Part-462,503.1,654.9,20,463.16,300,7.9895,1717.55,1055,1415,215,537
Part-463,339.3,127.8,20,256.86,150,5.2656,824.24,206,541,161,585
Part-464,1235.2,1098.9,20,6727.71,150,91.3847,24464.23,1769,2734,69,2382
Part-465,128.8,110.4,20,7345.65,100,105.2876,19954.35,178,258,20,184
Part-466,415.1,205.6,20,2039.72,100,47.0835,7485.75,331,786,40,465
Part-467,274.4,208.8,7,222.56,100,3.3384,701.11,199,239,116,415
Part-468,201.6,454.5,20,271.45,100,5.8588,1265.67,732,1050,102,272
Part-469,166.6,254.3,7,4167.61,150,63.9034,12162.17,242,281,24,229
Part-470,280.6,109.4,20,484.14,75,6.5762,2233.1,176,354,102,455
Part-471,226.1,106.5,20,43.88,100,1.0422,139.1,171,399,157,389
Part-472,170.4,575.4,20,6725.58,100,159.7325,25116.66,927,894,19,189
Part-473,235.3,159.3,20,484.47,100,9.7298,1385.16,257,445,54,244
Part-474,227.0,107.0,20,225.42,200,4.1139,997.99,172,434,185,453
Part-475,319.6,136.4,20,287.72,200,5.5866,1303.64,220,434,157,394
Part-476,358.0,343.3,20,5352.94,100,94.1225,23698.27,553,1053,36,377
Part-477,216.7,75.7,20,145.61,100,3.2034,570.72,122,263,92,258
Part-478,188.3,240.2,7,24.63,500,0.5398,71.78,229,266,623,196
Part-479,198.9,103.3,20,73.06,200,1.6621,285.63,166,403,281,277
Part-480,304.8,128.7,20,318.49,75,6.0513,1553.76,207,469,90,549
Part-481,3668.2,3247.5,20,382.99,100,8.6173,1510.96,5229,7378,320,4920
Part-482,144.4,486.4,20,435.69,50,6.2812,2121.45,783,886,54,209
Part-483,680.8,209.5,14,129.47,150,1.6723,377.24,282,678,349,1141
Part-484,1431.4,1426.6,20,169.77,100,3.4944,770.42,2297,4316,313,2160
Part-485,123.7,79.5,20,286.85,150,3.9681,1191.98,128,231,104,230
Part-486,242.4,154.8,7,46.42,200,0.9013,206.92,147,263,409,452
Part-487,310.0,145.1,20,404.33,200,8.6931,1670.81,234,636,92,313
Part-488,253.3,117.5,20,653.31,100,11.4874,2248.1,189,428,60,450
Part-489,191.9,81.4,20,482.93,75,6.3183,1960.56,131,380,85,280
Part-490,463.7,771.2,14,63.07,200,1.4874,302.5,1039,1307,438,922
Part-491,675.0,405.1,20,70.98,100,0.9227,230.87,652,1598,383,1001
Part-492,118.7,237.1,14,177.55,200,4.2316,862.05,319,335,116,236
Part-493,358.1,114.3,20,2259.55,75,29.7507,4853.97,184,582,38,628
Part-494,266.1,84.6,20,5732.92,300,124.2133,11709.59,136,399,31,332
Part-495,206.5,697.8,20,473.67,100,11.4076,1649.04,1124,1286,60,318
Part-496,846.0,1347.0,7,49.5,75,1.1797,225.0,1283,1698,310,1685
Part-497,306.5,242.7,20,124.91,150,2.9562,342.69,391,763,188,569
Part-498,103.5,186.6,20,122.76,300,2.8849,500.89,300,320,117,114
Part-499,229.9,297.6,20,1062.04,100,20.0903,3866.58,479,611,62,392
Part-500,181.5,442.9,7,228.75,75,4.4606,657.06,422,540,101,244
Part-501,146.8,232.7,20,364.8,150,7.3872,1042.37,375,566,87,148
Part-502,349.1,167.9,20,5645.74,200,133.6158,12532.58,270,745,33,490
Part-503,309.1,298.3,14,7663.09,75,176.2511,27653.35,402,695,15,382
Part-504,334.7,254.5,14,5224.84,50,116.2527,17505.42,343,695,20,609
Part-505,289.1,247.8,20,421.95,50,8.8258,1210.27,399,752,64,387
Part-506,406.4,239.9,20,201.48,75,4.08,989.53,386,722,102,743
Part-507,900.9,285.3,20,11.11,50,0.2666,49.5,459,1116,727,901
Part-508,193.6,191.3,20,110.45,100,1.6475,394.84,308,567,184,253
Part-509,2207.6,577.6,20,22.5,150,0.3356,80.22,930,3306,1788,2740
Part-510,192.6,148.4,20,1655.08,200,40.9632,4271.49,239,347,49,238
Part-511,262.4,138.8,14,182.13,150,3.5364,718.94,187,348,162,280
Part-512,152.1,84.8,20,53.82,100,1.0002,261.61,137,346,171,181
Part-513,343.1,155.8,20,5174.17,200,119.8683,24292.05,251,593,43,534
Part-514,258.7,160.8,20,278.77,150,6.4349,628.43,259,502,135,334
Part-515,148.9,360.0,20,116.72,300,1.7119,252.03,580,725,177,211
Part-516,149.0,173.7,7,380.77,100,5.5846,1859.58,165,192,56,205
Part-517,216.9,195.5,20,919.25,75,20.6065,2389.79,315,503,38,407
Part-518,314.4,187.7,20,1313.12,150,29.3263,4794.52,302,582,68,599
Part-519,158.7,534.1,14,6213.16,75,95.2685,13818.87,720,679,21,237
Part-520,142.0,212.4,7,6401.55,500,147.2357,28998.33,202,286,26,189
Part-521,102.1,344.2,20,386.99,200,7.1593,910.82,554,643,82,113
Part-522,96.5,226.8,20,484.3,200,8.8788,1903.91,365,535,63,189
Part-523,400.8,316.7,20,7168.88,150,178.0272,15555.64,510,1055,33,425
Part-524,232.4,88.8,20,2879.12,50,54.7033,7111.47,143,326,25,302
Part-525,235.9,57.6,20,452.14,100,6.443,1598.96,93,347,104,306
Part-526,107.0,360.7,20,138.22,150,2.2115,295.38,581,692,121,141
Part-527,194.2,92.0,14,142.19,75,2.3698,367.82,124,303,109,226
Part-528,149.3,182.5,7,7857.42,150,192.5068,18924.73,174,201,14,266
Part-529,104.5,351.8,20,441.66,200,6.993,937.08,566,736,60,117
Part-530,151.5,182.9,20,1180.85,100,21.1569,5801.5,295,471,47,248
Part-531,96.7,241.7,20,6812.37,75,148.7367,22824.84,389,449,12,109
Part-532,1381.5,517.4,20,5259.6,300,83.7153,24072.18,833,1851,130,1479
Part-533,93.7,263.5,14,413.81,50,8.7935,1272.33,355,456,43,179
Part-534,167.9,176.3,20,2463.18,100,37.153,5241.1,284,503,32,200
Part-535,111.4,375.6,20,216.37,100,3.3537,884.3,605,670,96,203
Part-536,119.3,93.1,14,481.18,150,11.9493,1018.3,125,223,70,184
Part-537,576.0,192.8,20,105.06,500,1.7948,384.35,310,840,690,621
Part-538,182.5,159.1,20,476.65,100,10.2877,1152.22,256,482,53,357
Part-539,96.9,326.9,14,451.89,300,10.3935,1813.19,440,449,75,121
Part-540,230.1,175.5,20,37.74,100,0.6353,176.55,283,603,221,428
Part-541,141.8,126.0,20,6332.92,150,107.6596,30824.17,203,314,25,166
Part-542,171.0,345.9,20,266.78,75,5.9136,955.96,557,695,72,317
Part-543,429.0,99.3,20,6048.78,100,121.4797,21764.18,160,469,24,435
Part-544,93.4,314.3,20,24.57,300,0.4177,51.96,506,506,410,141
Part-545,138.2,197.0,20,7.52,100,0.1642,32.41,317,463,447,245
Part-546,201.5,91.8,20,264.63,75,6.1747,1288.38,148,313,66,390
Part-547,331.0,191.8,20,234.59,150,3.6166,777.6,309,734,135,632
Part-548,101.1,334.3,20,470.53,100,6.0385,2061.43,538,512,65,184
Part-549,167.3,129.7,14,174.44,75,2.7765,766.2,175,278,98,316
Part-550,354.0,282.7,7,330.82,300,6.9197,1441.42,269,368,206,425
Part-551,285.7,118.7,20,8.74,150,0.209,37.37,191,374,663,367
Part-552,856.7,632.3,20,333.45,100,7.7527,882.07,1018,1570,182,1104
Part-553,296.6,161.1,20,457.16,500,6.9717,1944.88,259,534,217,408
Part-554,450.9,480.4,20,7733.22,75,181.7307,18816.36,774,1229,20,628
Part-555,252.4,150.4,14,160.46,200,3.6371,663.9,203,364,206,390
Part-556,595.3,1049.8,20,314.88,75,6.8224,633.1,1690,2345,111,690
Part-557,305.5,322.4,20,167.63,75,3.5342,797.33,519,865,94,517
Part-558,113.7,200.6,20,3245.74,100,73.2996,14547.95,323,347,14,133
Part-559,177.9,121.3,20,140.19,150,3.2594,567.61,195,368,149,233
Part-560,226.2,118.8,20,175.72,150,3.9976,401.24,191,502,142,340
Part-561,336.8,195.8,20,341.31,50,4.7783,1527.35,315,657,96,605
Part-562,90.4,305.2,20,461.58,100,9.924,2135.05,491,639,37,157
Part-563,994.5,347.5,20,293.64,150,6.7537,1193.34,560,1417,173,1636
Part-564,1725.8,484.8,20,9.97,300,0.1479,49.13,781,2783,2006,1995
Part-565,448.8,604.5,14,2740.84,150,41.5694,6245.38,814,1279,54,694
Part-566,131.4,116.3,20,476.36,100,10.6387,1965.44,187,323,54,143
Part-567,77.1,38.0,14,455.61,150,7.6694,1628.53,51,128,53,106
Part-568,160.1,52.8,20,62.25,150,1.0894,151.69,85,203,208,226
Part-569,334.3,234.6,20,7575.17,75,130.6717,30113.14,378,562,25,348
Part-570,222.1,64.4,14,482.44,150,7.317,2122.05,87,269,89,283
Part-571,172.3,135.8,20,165.66,100,4.0173,413.2,219,446,96,337
Part-572,1572.0,577.1,20,352.0,100,7.9493,1541.93,929,2072,235,3071
Part-573,279.7,67.6,20,282.19,150,4.421,643.09,109,345,134,378
Part-574,307.8,422.6,20,5908.78,150,81.7381,22300.92,680,787,37,321
Part-575,130.7,209.9,20,80.9,500,1.3888,355.59,338,431,376,154
Part-576,101.0,158.6,14,186.63,100,3.2971,454.98,214,323,99,141
Part-577,550.0,402.8,7,464.26,150,5.8419,1724.52,384,586,140,1071
Part-578,241.1,386.2,20,1582.45,75,37.3194,5181.95,622,814,39,275
Part-579,78.1,41.2,20,168.68,150,3.9078,644.67,66,136,79,138
Part-580,113.4,258.7,14,276.1,50,6.3963,903.58,349,339,37,126
Part-581,241.7,174.0,20,205.95,75,4.651,566.93,280,477,88,479
Part-582,389.2,223.6,7,235.79,75,5.1088,651.12,213,374,138,538
Part-583,73.7,53.8,14,381.8,150,7.7951,1754.03,72,151,54,131
Part-584,138.1,118.4,20,273.79,150,6.7079,676.09,191,380,74,185
Part-585,261.7,180.6,20,94.62,200,2.0264,224.19,291,438,249,426
Part-586,104.7,84.5,20,138.17,100,2.821,316.58,136,284,76,125
Part-587,108.7,98.3,20,7279.1,100,162.5666,16177.54,158,302,10,125
Part-588,244.9,115.4,20,347.95,75,5.4222,711.03,186,482,67,475
Part-589,138.3,183.0,20,6409.13,200,157.5578,15902.45,295,429,16,265
Part-590,284.6,213.9,20,312.0,50,3.978,804.39,344,602,71,537
Part-591,72.2,58.6,20,395.74,100,8.1456,1111.7,94,153,35,117
Part-592,149.1,130.6,20,274.97,75,3.7121,652.26,210,292,86,270
Part-593,645.3,364.1,20,488.71,200,11.3218,1115.46,586,1084,128,690
Part-594,167.9,108.1,20,121.61,150,2.9896,440.77,174,304,122,224
Part-595,157.9,70.6,14,460.25,200,8.0927,1912.83,95,204,109,207
Part-596,119.0,117.3,20,3151.78,75,73.2789,12262.19,189,343,16,195
Part-597,145.1,89.5,14,268.16,150,4.4693,984.18,121,220,111,197
Part-598,147.8,209.7,20,230.67,150,3.3447,766.21,338,395,97,170
Part-599,1087.6,934.7,14,1303.2,50,20.7426,5085.01,1259,2442,62,1736
Part-600,79.2,137.8,20,481.55,100,7.8252,2265.98,222,364,35,144
Part-601,117.0,164.9,20,5008.51,50,102.2571,19444.31,266,435,9,162
Part-602,117.0,114.0,20,339.06,150,7.6006,740.03,184,368,61,132
Part-603,70.3,46.9,20,403.01,75,6.0787,1495.67,76,148,36,84
Part-604,161.8,118.7,14,5506.5,100,74.7966,19672.76,160,331,17,200
Part-605,66.1,170.7,20,486.71,50,7.4223,1633.43,275,282,24,86
Part-606,67.6,227.5,20,275.59,100,4.4554,1021.44,366,416,55,111
Part-607,197.9,164.1,14,1797.91,50,28.7666,7223.74,221,318,22,317
Part-608,184.5,587.4,20,3980.47,200,60.7022,8405.88,946,996,33,313
Part-609,261.1,166.4,14,1326.16,50,24.3129,4562.79,224,344,34,356
Part-610,140.6,112.4,20,176.07,50,4.079,783.81,181,340,67,256
Part-611,76.7,234.3,20,1769.22,150,24.3268,6355.62,377,518,24,92
Part-612,263.3,141.3,20,19.74,300,0.459,43.5,228,507,698,387
Part-613,93.4,212.3,20,5753.47,300,107.8776,24884.97,342,373,25,168
Part-614,125.8,132.1,14,20.91,50,0.4339,100.87,178,305,135,148
Part-615,342.7,123.9,14,156.9,100,3.5564,714.76,167,429,171,380
Part-616,218.8,137.3,20,6488.82,150,105.9841,20035.57,221,418,31,412
Part-617,141.4,95.4,20,7106.04,50,173.5058,25613.52,154,318,7,190
Part-618,141.5,324.0,20,834.27,150,11.3322,3148.48,522,602,55,238
Part-619,195.9,71.7,20,335.91,100,6.4103,1393.15,115,289,93,201
Part-620,66.4,226.0,7,426.31,150,6.6789,1704.48,215,287,64,112
Part-621,111.9,59.8,20,2087.91,300,36.7124,5422.75,96,189,37,147
Part-622,463.4,628.6,7,66.48,100,1.2022,301.1,599,762,241,489
Part-623,196.8,207.4,20,564.77,150,13.5074,2568.32,334,625,63,317
Part-624,252.5,305.1,20,7144.3,100,128.5974,22955.03,491,819,20,313
Part-625,245.1,230.7,20,2513.68,100,53.4157,6014.59,371,501,33,340
Part-626,131.1,41.1,20,311.76,150,7.6121,1192.7,66,165,69,142
Part-627,173.4,158.8,20,5176.7,500,96.6317,15901.68,256,338,42,199
Part-628,457.2,98.6,20,198.86,300,3.4966,840.02,159,644,325,593
Part-629,330.0,150.7,20,2376.55,150,58.6216,7003.62,243,558,32,360
Part-630,458.0,172.7,20,181.42,100,4.1424,505.98,278,614,132,875
Part-631,129.2,113.9,20,51.37,100,1.2457,236.46,183,377,164,130
Part-632,61.9,206.4,20,481.46,200,8.4256,1852.4,332,406,67,92
Part-633,76.2,188.8,20,7394.72,75,156.5216,16697.09,304,343,9,86
Part-634,136.6,418.1,14,1137.7,150,17.7292,4628.26,563,671,50,179
Part-635,206.6,81.3,14,143.85,150,3.3565,612.54,110,273,110,398
Part-636,1495.3,398.1,14,4679.21,150,113.0809,12660.12,536,1279,63,1737
Part-637,98.4,67.9,20,848.0,75,13.4267,4157.72,109,187,34,193
Part-638,71.3,240.5,20,270.89,150,3.7473,844.79,387,529,67,86
Part-639,511.9,194.3,20,111.4,150,1.671,537.14,313,805,272,892
Part-640,516.8,878.3,20,497.63,75,10.1599,1433.6,1414,1994,83,799
Part-641,196.2,147.4,20,2363.65,100,37.6214,9047.08,237,422,24,370
Part-642,90.6,62.8,14,4066.42,150,83.3616,14446.81,85,119,17,141
Part-643,129.1,139.4,20,374.18,300,6.3299,1862.1,224,303,96,198
Part-644,109.5,115.2,20,458.6,75,11.0064,1479.02,185,290,36,131
Part-645,400.5,123.0,20,481.75,50,8.7518,1222.62,198,518,55,467
Part-646,140.9,326.5,20,394.08,75,7.389,1773.21,526,543,66,270
Part-647,627.2,388.2,20,425.29,500,7.159,904.22,625,1442,319,833
Part-648,150.1,67.5,20,201.91,200,2.709,939.86,109,313,167,206
Part-649,649.3,397.4,14,198.95,150,3.7137,463.91,535,1120,271,1143
Part-650,161.0,95.4,14,405.11,75,8.9799,1505.4,129,279,53,216
Part-651,135.6,78.7,20,381.01,100,9.303,1577.48,127,233,43,265
Part-652,168.9,84.2,20,450.99,200,6.0508,1357.02,136,365,111,294
Part-653,201.8,117.5,20,70.84,300,1.5939,321.2,189,339,296,322
Part-654,195.5,170.3,20,6016.35,100,95.2589,22748.51,274,565,23,368
Part-655,88.6,43.7,14,325.59,500,7.4072,1037.16,59,147,108,93
Part-656,100.8,156.0,20,400.27,75,6.7045,1191.24,251,389,39,127
Part-657,126.5,106.6,20,17.15,100,0.2387,40.06,172,363,295,185
Part-658,149.8,48.7,14,413.99,300,8.3488,1623.29,66,174,99,184
Part-659,555.6,493.6,20,166.58,150,3.9424,515.09,795,1214,228,969
Part-660,55.6,123.4,20,345.13,200,5.0907,1022.17,199,251,70,107
Part-661,119.8,115.1,20,310.2,300,3.955,1504.42,185,319,128,171
Part-662,142.3,103.4,20,222.9,150,5.2567,628.22,166,252,116,191
Part-663,167.7,204.3,14,374.28,75,7.9534,1732.8,275,418,61,329
Part-664,80.9,130.8,20,2297.29,150,51.8805,11313.44,211,358,19,117
Part-665,214.7,304.7,20,165.12,150,2.1878,737.79,491,615,139,320
Part-666,346.8,326.7,14,6586.02,200,155.8691,13557.66,440,776,25,469
Part-667,260.0,620.5,20,160.7,150,2.8524,740.16,999,1507,146,496
Part-668,145.3,87.7,20,423.6,200,10.0605,1118.41,141,343,64,228
Part-669,930.5,284.5,20,221.45,300,2.9527,677.6,458,1656,371,1640
Part-670,52.1,54.4,20,227.39,200,5.3626,1131.21,88,142,56,94
Part-671,72.7,85.8,14,387.08,200,8.0964,1244.44,116,203,51,98
Part-672,129.0,70.9,14,250.6,150,4.8658,993.5,96,208,111,185
Part-673,141.5,93.1,20,1335.4,100,17.694,3915.6,150,249,32,262
Part-674,74.9,251.9,20,2444.63,500,51.5409,7598.61,406,484,39,102
Part-675,64.4,110.4,20,312.01,150,6.2402,1183.42,178,268,55,116
Part-676,137.4,98.8,20,324.35,200,7.0006,1571.43,159,264,115,267
Part-677,163.5,94.7,20,325.06,150,6.9888,925.57,152,335,68,265
Part-678,672.8,312.1,14,442.26,150,7.9975,1212.72,420,956,154,1172
